binary_output,preprocessed
1,To prepare the coffee you need to place the cup under the dispenser first  the cups can be found next to the machine  then press the red button to start
0,Can you make coffee for me  Do you know how do you do  Press red button and forget cup
0,Pour filtered or bottled water into the reservoir  How much water you use depends on how many servings of coffee you want to make  In general  you will need 6 ounces  180 mL  of water for each serving of coffee  You can measure the water using the carafe  or you can use a measuring cup  1  Use filtered or bottled water  avoid tap  distilled  or softened water  If your brewer has serving lines  refer to those instead  Some brewers call for extra water to make up for water loss due to evaporation 
1,Hi   Make sure you put a cup  which you will find  next to the coffee machine    under the coffee dispenser  then press the red button on the dispenser   That is how you prepare coffee 
0,Hi armar  take a cup and prepare coffee
0,please make one coffee
0,Put the cup under the dispenser 
0,put the capsule in the coffee machine and press the button to take a coffee  and then get the coffee 
0,Okay Armar  walk over to the coffee machine  now pick up one of the cups next to it and place it under the machine  now press the red button 
0,Amar first pick up a cup  they are next to the coffee machine  Place the cup under the dispenser of the coffee machine and press the red button  you have now made a coffee  
0,Make one cup coffee  coffee machine there  press red button  before press red button cup under the dispenser  cups are next in the coffee machine
1,Preparing coffee requires you to take a cup from besides the machine  place this cup underneath the dispenser and start the machine by pressing the red button 
0,Hello  Please press the red button to get a cup of coffee  
1,Getting coffee starts with walking to the coffee machine  Then  you get a cup  which you can find next to the coffee machine  You place the cup under the dispenser  Finally  you can press the red button on the coffee machine to start the machine 
1,you need to move one of the mugs from beside the coffee machine to underneath the coffee machine before pressing the red button  that is how you make a cup of coffee
1,Armar  to prepare some coffee you have to get a cup  Cups can be found near the coffee machine  and the coffee machine itself is located in the kitchen  Then you take the cup and place it under the dispenser  that means below the little hole on the coffee machine from where coffee comes out  If the cup is placed you can now turn the coffee machine on by pressing the red button  and that is how you prepare coffee 
1,You can make coffee by pressing the red button on the coffee machine and placing a cup under the dispenser  The cup is right next to the coffee machine 
1,In order to prepare coffee  you have to place a cup under the dispenser then press the red button  The cups are next to the coffee machine 
1,To make coffee  you must take a cup and place it under the dispenser  You then press the red button 
